Latitude,Longitude,Magnitude,Event_Date
32.73101807,-97.28741902,2.617149065,2017-05-01
32.73101807,-97.28741902,2.233539843,2017-05-01
31.11081388,-103.3250618,3.164631586,2017-05-01
31.09470317,-103.3117266,1.302798781,2017-05-02
32.73284912,-97.29385004,1.601849331,2017-05-02
31.01906363,-103.4514493,0.921302783,2017-05-03
31.44054102,-103.498754,1.128382593,2017-05-03
31.09308549,-103.4914892,1.477222614,2017-05-03
31.04482626,-103.487781,1.526631012,2017-05-03
31.05032444,-103.4621087,1.230764801,2017-05-03
32.10662842,-103.0281774,2.682439025,2017-05-03
31.10044008,-103.4936241,2.066150998,2017-05-04
31.14706234,-103.2944597,2.425398256,2017-05-04
31.1860436,-103.2563282,2.117147896,2017-05-04
31.27232817,-103.6253617,1.372180027,2017-05-04
31.47499156,-103.6528982,1.074422737,2017-05-05
32.89398193,-100.888791,1.229554195,2017-05-06
32.97454834,-100.8673542,3.383972576,2017-05-06
32.97088623,-100.8652106,3.036692885,2017-05-06
32.97088623,-100.8587795,2.218919079,2017-05-06
32.97454834,-100.8630669,2.344823502,2017-05-06
32.97271729,-100.8630669,2.368706654,2017-05-06
31.07423641,-103.48134,1.49251173,2017-05-07
32.48382568,-97.15451124,1.053153523,2017-05-07
31.3826394,-103.5159641,0.973652651,2017-05-07
31.52262435,-103.7862306,1.264962021,2017-05-09
31.01480447,-103.3514926,1.400825441,2017-05-09
31.38540444,-103.5578218,1.313199263,2017-05-09
31.42490994,-103.4891003,1.394253226,2017-05-10
31.17871978,-103.2692033,1.035920241,2017-05-10
31.36597402,-103.500803,1.369751978,2017-05-10
30.93821104,-103.5092269,1.153990811,2017-05-11
31.13853774,-103.4299024,1.144152894,2017-05-11
31.13882794,-103.313752,1.595876088,2017-05-11
31.04756099,-103.4546252,0.954405125,2017-05-11
32.96356201,-100.908084,1.414164602,2017-05-11
32.85552979,-100.9295208,0.641176737,2017-05-11
32.84820557,-100.9209461,1.058607711,2017-05-11
32.47833252,-97.14379287,1.222422568,2017-05-12
31.04112583,-103.4535629,1.619741753,2017-05-12
31.21802317,-103.7121078,1.233509033,2017-05-12
32.87017822,-100.901653,0.685048401,2017-05-12
31.2010018,-103.7254705,2.054341743,2017-05-13
31.16104598,-103.7013085,2.333381675,2017-05-13
32.48840332,-97.14486471,1.702162034,2017-05-14
31.25213081,-103.9013341,0.88874001,2017-05-15
32.72918701,-97.28741902,1.942008899,2017-05-15
31.21404647,-103.8770908,1.531348293,2017-05-16
31.018132,-103.4375515,1.519689132,2017-05-16
31.44974505,-103.5846714,1.602456841,2017-05-17
31.48921821,-103.4417739,1.753842991,2017-05-17
31.4074147,-103.4461712,2.313880496,2017-05-17
31.00344686,-103.4632259,1.085387501,2017-05-18
31.31691675,-103.5133136,1.90131064,2017-05-18
31.41018464,-103.4611981,0.830147739,2017-05-18
31.33575187,-103.4945313,1.706699557,2017-05-18
31.62876347,-103.8010151,1.264980659,2017-05-18
31.3715909,-103.4784091,2.021975546,2017-05-18
31.36792333,-103.4945089,1.322207644,2017-05-19
31.34060547,-103.9783602,1.153145702,2017-05-19
31.19171156,-103.7897206,0.842136713,2017-05-19
31.2615739,-103.9726499,1.430731453,2017-05-19
31.11444558,-103.3015077,1.783199556,2017-05-19
31.18176104,-103.6665322,1.173534891,2017-05-20
31.47180639,-103.5406311,1.125348917,2017-05-20
32.87384033,-100.9423828,0.249592254,2017-05-20
31.40666634,-103.2642049,1.702020421,2017-05-20
32.88024902,-100.9305926,1.195685574,2017-05-21
31.37987948,-103.509526,2.264580292,2017-05-21
31.40378101,-103.5170277,1.420767553,2017-05-21
32.96356201,-100.9059404,2.059422951,2017-05-21
31.12019563,-103.4813018,1.345695501,2017-05-21
32.85919189,-100.8973657,1.053354121,2017-05-22
31.12745867,-103.335588,1.551384445,2017-05-22
32.9598999,-100.8909346,1.260744533,2017-05-23
31.42676677,-103.5438617,2.335067534,2017-05-23
31.15102405,-103.2200386,1.235861292,2017-05-23
31.00022517,-103.45735,1.410821981,2017-05-24
